BOGOTA D.C.;BOGOTA D.C.;LIC PSICOPEDAG LA ESMERALDA                                                                         ;IND TR. 39 NO.44A-21;MIXTO;PREESCOLAR  BASICA PRIMARIA;MANANA COMPLETA;INGLES;PERSONA NATURAL;A
BOGOTA D.C.;BOGOTA D.C.;COL JHON DALTON                                                                                     ;KR 17 51 67;MIXTO;MEDIA  BASICA SECUNDARIA  BASICA PRIMARIA;MANANA FIN DE SEMANA;INGLES;PERSONA NATURAL;A
BOGOTA D.C.;BOGOTA D.C.;COL LOS ANGELES DE HELVETIA                                                                         ;KR 42 22 04;MIXTO;PREESCOLAR  BASICA PRIMARIA;COMPLETA;INGLES;PERSONA NATURAL;A
BOGOTA D.C.;BOGOTA D.C.;GIMN CECIL REDDIE                                                                                   ;TV 28 A 36 56;MIXTO;PREESCOLAR MEDIA  BASICA SECUNDARIA  BASICA PRIMARIA;MANANA COMPLETA;;PERSONA NATURAL;A
BOGOTA D.C.;BOGOTA D.C.;COL MERCEDARIO SAN PEDRO NOLASCO                                                                    ;CL 68 18 14;MIXTO;PREESCOLAR MEDIA  BASICA SECUNDARIA  BASICA PRIMARIA;COMPLETA;;PERSONA NATURAL;A
BOGOTA D.C.;BOGOTA D.C.;INST SANTA INES                                                                                     ;KR 46 A 71 85;MIXTO;PREESCOLAR  BASICA PRIMARIA;COMPLETA;INGLES;PERSONA NATURAL;A
BOGOTA D.C.;BOGOTA D.C.;LIC PEDAGOGICO                                                                                      ;KR 20 68 31;MIXTO;PREESCOLAR MEDIA  BASICA SECUNDARIA  BASICA PRIMARIA;COMPLETA;INGLES;PERSONA NATURAL;A
BOGOTA D.C.;BOGOTA D.C.;INSTITUTO ALBERT SCHWEITZER;KR 49 C 91 55;MIXTO;PREESCOLAR  BASICA PRIMARIA;COMPLETA;;PERSONA NATURAL;A
BOGOTA D.C.;BOGOTA D.C.;INSTITUTO PEDAGOGICO PARA EL DESARROLLO INFANTIL EDINFORCHILD;KR 93 BIS 133 18;MIXTO;PREESCOLAR  BASICA PRIMARIA;UNICA;;PERSONA NATURAL;A
BOGOTA D.C.;BOGOTA D.C.;COLEGIO SUPERIOR DE PALERMO;CL 132 D BIS 132 08;MIXTO;MEDIA  BASICA SECUNDARIA  BASICA PRIMARIA;MANANA NOCTURNA FIN DE SEMANA;;PERSONA NATURAL;A
BOGOTA D.C.;BOGOTA D.C.;CENTRO JOHANN KEPLER;CL 134 A 147 C 07;MIXTO;MEDIA  BASICA SECUNDARIA  BASICA PRIMARIA;NOCTURNA FIN DE SEMANA;;PERSONA NATURAL;A
BOGOTA D.C.;BOGOTA D.C.;LICEO ARTISTICO SAN JOSE;KR 137 BIS 132 F 12;MIXTO;PREESCOLAR  BASICA PRIMARIA;UNICA;;PERSONA NATURAL;A
BOGOTA D.C.;BOGOTA D.C.;LICEO INTEGRAL CONQUISTADORES;KR 49 127 D 59;MIXTO;PREESCOLAR  BASICA PRIMARIA;UNICA;;PERSONA NATURAL;A
BOGOTA D.C.;BOGOTA D.C.;INSTITUTO CENTRAL DE ESTUDIOS S.A.S;CL 167 62 34;MIXTO;MEDIA  BASICA SECUNDARIA  BASICA PRIMARIA;MANANA NOCTURNA TARDE FIN DE SEMANA;;PERSONA NATURAL;A
BOGOTA D.C.;BOGOTA D.C.;COLEGIO KNIGHTSBRIDGE SCHOOLS INTERNATIONAL;CL 221 115 51;MIXTO;PREESCOLAR MEDIA  BASICA SECUNDARIA  BASICA PRIMARIA;COMPLETA;INGLES;PERSONA NATURAL;B
